#Instructions for RainbowCSV:
# 1: Comment fix: Select the "#" character, right click->Rainbow CSV->Set selection as Comment Prefix
# 2: Line generation: Generate your CSV lines and paste them; mass-fix the columns if needed using the alt+shift+click multi-row select feature
# 3: Order and sum: 
# 3.1: Convert to minutes: IF there are estimations/remTimes in "h" => convert them to m(inutes)
# 3.2: Prepare to sum: Remove the "m" after all the time values (both Estimation and RemTime): alt+shitf+click select all in the column, ctrl+h, switch on the "in selection" (three horizontal lines", "m" in first box, second box empty, press Replace all 
# 3.3: Open the query window: Press 'Query' (next to CSVLint button in the bottom), check 'Input table has header'
# 3.4: Order: Put "SELECT * ORDER BY a3, a6" to the textbox, press run then copy the result back to this one
# 3.5: Sum: Queries are "SELECT sum(a2)" for sum of Estimation and "SELECT sum(a5)" for sum of RemTime; Run each and put the results as a new line like the example below
*, Estimation   , Status    , By          , RemTime, IdLink                                                                                                                                                                                                                                                                                                                                          , DependsOn
 , 20           , TODO      , Bobi        ,      20, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Documents""..""Specifications""..""F2Yaml""..""Overview""..""Summary""..""Create a ToC like thing from this""<"                                                                                                                       , 
 ,              , TODO      , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Documents""..""Specifications""..""F2Yaml""..""Specifics""..""BelongsTo""<"                                                                                                                                                           , 
 ,              , TODO      , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Documents""..""Specifications""..""F2Yaml""..""Specifics""..""InternalId""<"                                                                                                                                                          , 
 ,              , TODO      , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Documents""..""Specifications""..""F2Yaml""..""Specifics""..""Workspace and Command Line differences""<"                                                                                                                              , 
 ,              , TODO      , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Documents""..""Specifications""..""F2Yaml""..""Specifics""..""The dot notation""<"                                                                                                                                                    , 
 ,              , TODO      , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Documents""..""Specifications""..""F2Yaml""..""Review and organize the rest""<"                                                                                                                                                       , 
 ,              , TODO      , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Documents""..""Specifications""..""F2Yaml""..""F2Link""<"                                                                                                                                                                             , 
 , 180          , NEXT      , Bobi        ,     180, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Generate the yaml links automatically""<"                                                                                                                                                                                                                                 , 
 , 90           , InProgress, Hana        ,      90, "-->Tasks\Management\..""General management""..""Task list reports (CSV)""..""Creation""..""Create OCWSPhase2 task list reports""<"                                                                                                                                                                                                             , 
 , 120          , InProgress, Bobi        ,      60, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Try Updating the BarbaF2YamlHtmlConverter to generate empty lines as well""..""See what can be done to support the empty lines; if easy, do it""<"                                                                                    , 
 , 180          , InProgress, Bobi        ,      60, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..LearnToDive..Syntax<"                                                                                                                                                                                                                                  , 
 , 90           , TODO      , "Bobi, Hana",      90, "-->Tasks\Management\..""OCWSPhase1""..CleanUpFiles<"                                                                                                                                                                                                                                                                                           , 
 , 30           , TODO      , "Hana, Bobi",      30, "-->Tasks\Website\..""Improvements""..""Manually convert the urls in the NonDD pages to html links""<"                                                                                                                                                                                                                                          , 
 , 15           , TODO      , Bobi        ,      15, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Update the colors to the current VS Code theme""<"                                                                                                                                                                                    , 
 , 60           , TODO      , Bobi        ,      60, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Detect and convert urls""<"                                                                                                                                                                                                           , 
 , 30           , TODO      , Bobi        ,      30, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Merge the project into the F2Tool solution""<"                                                                                                                                                                                        , 
 , 180          , NEXT      , "Hana, Bobi",     180, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Manually create the yaml links""<"                                                                                                                                                                                                                                        , 
 , 20           , TODO      , Bobi        ,      20, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..Phase1ReadEngine..MakeYamlsDownloadable..AsAPackage..Impl<"                                                                                                                                                                                                  , 
 , 30           , OnHold    , Bobi        ,      30, "-->Tasks\Website\..""Back to original""..Intermediate..""Shadow site todos""..""Revise the other pages""<"                                                                                                                                                                                                                                     , 
 , 60           , InProgress, "Bobi, Hana",      60, "-->Tasks\Management\..""OCWSPhase1""..""Plan and prepare Twitch streaming first phase""<"                                                                                                                                                                                                                                                      , 
 , 20           , TODO      , Bobi        ,      20, "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..Phase1ReadEngine..MakeYamlsDownloadable..AsAPackage..Impl<"                                                                                                                                                                                                  , 
 ,              , TODO      , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase2""..""SupportUs page""..""Placeholder for further tasks""<"                                                                                                                                                                                   , 
 , 10           , TODO      , Bobi        ,      10, "-->Tasks\Website\..""Back to original""..Intermediate..""Bugs""..""Some more colors are missing from colors.json""<"                                                                                                                                                                                                                           , 
#F2yaml.yml
 , 10           , InProgress, Bobi        ,      10, "-->Documents\F2YamlSpecification\F2Yaml\.""3-Detailing Must .F2Yaml.MVP Rules Sketch"".""4-AlmostDone Must .Overview"".""5-Done Must .FYamlBasics"".""0-New Must .SpecialItems"".""0-New Must .Overview""..""Create content""<"                                                                                                                , 
 , 60           , InProgress, Bobi        ,      60, "-->Documents\F2YamlSpecification\F2Yaml\.""3-Detailing Must .F2Yaml.MVP Rules Sketch"".""4-AlmostDone Must .Overview"".""5-Done Must .FYamlBasics"".""0-New Must .SpecialItems"".""0-New Must .ItemAndStandardItem"".Tasks..""Create content""<"                                                                                               , 
 ,              , InProgress,             ,        , "-->Documents\F2YamlSpecification\F2Yaml\.""3-Detailing Must .F2Yaml.MVP Rules Sketch"".""4-AlmostDone Must .Overview"".""5-Done Must .FYamlBasics"".""0-New Must .SubItems"".Tasks..""Create content""<"                                                                                                                                       , 
 , 5            , TODO      , Bobi        ,       5, "-->Documents\F2YamlSpecification\F2Yaml\.""3-Detailing Must .F2Yaml.MVP Rules Sketch"".""3-Detailing Must .F2Yaml syntax detailed"".""3-Detailing Must .Explicitly vs non-explicitly marked values"".Tasks..""Explain that this is semantic, not syntax; so the rules are dependent on how we interpret certain values, not just the syntax""<", 
 , 10           , TODO      , Bobi        ,      10, "-->Documents\F2YamlSpecification\F2Yaml\.""3-Detailing Must .F2Yaml.MVP Rules Sketch"".""3-Detailing Must .F2Yaml syntax detailed"".""3-Detailing Must .Explicitly vs non-explicitly marked values"".Tasks..""Create a nice structure out of it""<"                                                                                            , 
 , 15           , TODO      , Bobi        ,      15, "-->Documents\F2YamlSpecification\F2Yaml\.""3-Detailing Must .F2Yaml.MVP Rules Sketch"".""3-Detailing Must .F2Yaml syntax detailed"".""3-Detailing Must .Explicitly vs non-explicitly marked values"".Tasks..""Review the rules and examples below based on the F2Tool implementation""<"                                                       , 
 ,              , 0-New Must,             ,        , "-->Documents\F2YamlSpecification\F2Yaml\.""3-Detailing Must .F2Yaml.MVP Rules Sketch"".""3-Detailing Must .F2Yaml syntax detailed"".""0-New Must .Inline references (inside texts)""<"                                                                                                                                                         , 
 , 15           , TODO      , Bobi        ,      15, "-->Documents\F2YamlSpecification\F2Yaml\.""3-Detailing Must .F2Yaml.MVP Rules Sketch"".""3-Detailing Must .F2Yaml syntax detailed"".""4-AlmostDone Must .strings"".Tasks..""Restructure it""<"                                                                                                                                                 , 
#Miscellaneous
 , 30           , Blocked   , Bobi        ,      30, "-->Tasks\Miscellaneous\..""IT""..Git..""Create a new repository after the cleanups""<"                                                                                                                                                                                                                                                         , 
 , 60           , TODO      , "Bobi Hana" ,      60, "-->Tasks\Miscellaneous\..""Health""..""Create an an analysis about the effects of consuming various sugars""<"                                                                                                                                                                                                                                 , 
 , 60           , TODO      , Hana        ,        , "-->Tasks\Miscellaneous\..""Health""..""Create a daily health tracking template to monitor sleep quality, bowel movements, mood, nutrition, hydration, and physical activity.""<"                                                                                                                                                               , 
#PublicRelation
#F2ToolsExtension
 ,              , New       , Hana        ,        , "-->Tasks\Software\F2ToolsExtension\.Bugs..""Follow link is not working when the target item does not have any properties""<"                                                                                                                                                                                                                   , 
 ,              , New       , Bobi        ,        , "-->Tasks\Software\F2ToolsExtension\.Bugs..""Can't use the features of VSIX on Mac depite installing the TF2Tool latest version""<"                                                                                                                                                                                                             , 
 ,              , New       , Bobi        ,        , "-->Tasks\Software\F2ToolsExtension\.Bugs..""""Bug:_ Unknown structure"" error message""<"                                                                                                                                                                                                                                                      , 
 ,              , New       , Bobi        ,        , "-->Tasks\Software\F2ToolsExtension\.Bugs..""During Id link generation the value of the ""Summary"" field is used instead of the ""Id"" field""<"                                                                                                                                                                                               , 
 ,              , InProgress, Hana        ,        , "-->Tasks\Software\F2ToolsExtension\.Tasks..""Wrap up the first phase of VSIX development""..""Test""<"                                                                                                                                                                                                                                         , 
 ,              , InProgress, Bobi        ,        , "-->Tasks\Software\F2ToolsExtension\.Tasks..""Wrap up the first phase of VSIX development""..""Cleaning up the remaining Bugs in VSIX""<"                                                                                                                                                                                                       , 
 , 60m timeboxed, TODO      , Bobi        ,        , "-->Tasks\Software\F2ToolsExtension\.Tasks..""Wrap up the first phase of VSIX development""..""Update readme""<"                                                                                                                                                                                                                                , 
 , 60m timeboxed, TODO      , Bobi        ,        , "-->Tasks\Software\F2ToolsExtension\.Tasks..""Wrap up the first phase of VSIX development""..""Create License for VSIX""<"                                                                                                                                                                                                                      , 
 ,              , New       , Hana        ,        , "-->Tasks\Software\F2ToolsExtension\.Bugs..""Task minutes does not get saved whem VSC is closed""<"                                                                                                                                                                                                                                             , 
#F2YamlToHtmlConvertor
 , 30           , TODO      , Bobi        ,      30, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Merge the project into the F2Tool solution""<"                                                                                                                                                                                        , 
 , 60           , TODO      , Bobi        ,      60, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Detect and convert urls""<"                                                                                                                                                                                                           , 
 , 15           , TODO      , Bobi        ,      15, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Update the colors to the current VS Code theme""<"                                                                                                                                                                                    , 
 , 180          , TODO      , Bobi        ,     180, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Detect and convert f2yaml links""<"                                                                                                                                                                                                   , 
 , 45           , Done      , Bobi        ,      45, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Cleanups""<"                                                                                                                                                                                                                          , 
 , 120          , Done      , Bobi        ,       0, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Implement CSV converting feature""..""Baseline""<"                                                                                                                                                                                    , 
 , 60           , Done      , Bobi        ,       0, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Implement CSV converting feature""..""Ability to specify which columns to be converted in config""<"                                                                                                                                  , 
 , 30           , Done      , Bobi        ,       0, "-->Tasks\Software\F2FileToHtmlConverter\..""F2FileToHtmlConverter""..""Development""..""SecondPhase""..""Implement CSV converting feature""..""Include coloring""<"                                                                                                                                                                            , 
 , 60           , Done      , Hana        ,       0, "-->Tasks\Website\..""Improvements""..""Add the part we recorded during our smoking session to the Summary""..""Transcribe the recording""<"                                                                                                                                                                                                    , 
 , 30           , Done      , Hana        ,       0, "-->Tasks\Website\..""Improvements""..""Add the part we recorded during our smoking session to the Summary""..""Fine-tune the transcription""<"                                                                                                                                                                                                 , 
 , 60           , Done      , Bobi        ,       0, "-->Tasks\Website\..""Improvements""..PublishCSVs..Decide..CsvToHtmlPoC<"                                                                                                                                                                                                                                                                       , 
 , 30           , Done      , Bobi        ,      30, "-->Tasks\Website\..""Improvements""..PublishCSVs..Decide..ActualDecision<"                                                                                                                                                                                                                                                                     , 
 , 30           , Done      , Bobi        ,      30, "-->Tasks\Website\..""Improvements""..PublishCSVs..Decide..""Convert the CSVs""<"                                                                                                                                                                                                                                                               , 
 , 10           , Fixed     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..""Bugs""..""Some more colors are missing from colors.json""<"                                                                                                                                                                                                                           , 
 ,              , Done      , Hana        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..""Implement""..NonDD..""Phase2""..""SupportUs page""..""BuyUsACoffee""..""Research""<"                                                                                                                                                                                      , 
 ,              , Done      , Bobi        ,        , "-->Tasks\Website\..""Back to original""..Intermediate..CreateSite..CreateYamls..Leaves..""The Abyss""..""Documents""..""Specifications""..""F2Yaml""..""Syntax, semantics and Barba.Types should not be mixed""<"                                                                                                                              , 
 , 30           , Fixed     , Bobi        ,       0, "-->Tasks\Website\..""Back to original""..Intermediate..""Bugs""..""Sidebar shrinks if the content is too wide""<"                                                                                                                                                                                                                              , 
 , 30           , Done      , "Hana, Bobi",       0, "-->Tasks\Website\..""Improvements""..""Add the part we recorded during our smoking session to the Summary""<"                                                                                                                                                                                                                                  , 
